,date,snow,price
1251,2020-02-06,0,8552
1252,2020-02-07,0,8496
1253,2020-02-10,0,8373
1254,2020-02-11,0,8337
1255,2020-02-12,0,8313
1256,2020-02-13,0,8272
1257,2020-02-14,0,8180
1258,2020-02-17,2,7749
1259,2020-02-18,5.4,7731
1260,2020-02-19,0,7716
1261,2020-02-20,0,7660
1262,2020-02-21,0,7427
1263,2020-02-24,0,6955
1264,2020-02-25,0,6932
1265,2020-02-26,0,6815
1266,2020-02-27,0,6888
1267,2020-02-28,0,7143
1268,2020-03-02,0,7093
1269,2020-03-03,0,7008
1270,2020-03-04,0,6980
1271,2020-03-05,0,7004
1272,2020-03-06,0,6935
1273,2020-03-09,0,6290
1274,2020-03-10,0,6153
1275,2020-03-11,0,6039
1276,2020-03-12,0,5962
1277,2020-03-13,0,5876
1278,2020-03-16,0,5908
1279,2020-03-17,0,5876
1280,2020-03-18,0,5875
1281,2020-03-19,0,5943
1282,2020-03-20,0,5951
1283,2020-03-23,0,5745
1284,2020-03-24,0,5755
1285,2020-03-25,0,5688
1286,2020-03-26,0,5561
1287,2020-03-27,0,5340
1288,2020-03-30,0,4963
1289,2020-03-31,0,4879
1290,2020-04-01,0,4799
1291,2020-04-02,0,4708
1292,2020-04-03,0,4624
1293,2020-04-06,0,4483
1294,2020-04-07,0,4404
1295,2020-04-08,0,4375
1296,2020-04-09,0,4359
1297,2020-04-10,0,4451
1298,2020-04-13,0,4533
1299,2020-04-14,0,4600
1300,2020-04-16,0,4581
1301,2020-04-17,0,4551
1302,2020-04-20,0,4451
1303,2020-04-21,0,4436
1304,2020-04-22,0,4410
1305,2020-04-23,0,4386
1306,2020-04-24,0,4362
1307,2020-04-27,0,4416
1308,2020-04-28,0,4440
1309,2020-04-29,0,4533
1310,2020-05-04,0,5162
1311,2020-05-06,0,5205
1312,2020-05-07,0,5197
1313,2020-05-08,0,5226
1314,2020-05-11,0,5130
1315,2020-05-12,0,4959
1316,2020-05-13,0,4781
1317,2020-05-14,0,4626
1318,2020-05-15,0,4475
1319,2020-05-18,0,4186
1320,2020-05-19,0,4143
1321,2020-05-20,0,4093
1322,2020-05-21,0,4120
1323,2020-05-22,0,4192
1324,2020-05-25,0,4327
1325,2020-05-26,0,4362
1326,2020-05-27,0,4370
1327,2020-05-28,0,4351
1328,2020-05-29,0,4313
1329,2020-06-01,0,4133
1330,2020-06-02,0,4053
1331,2020-06-03,0,3958
1332,2020-06-04,0,3943
1333,2020-06-05,0,3987
1334,2020-06-08,0,4026
1335,2020-06-09,0,3949
1336,2020-06-10,0,3910
1337,2020-06-11,0,3972
1338,2020-06-12,0,3943
1339,2020-06-15,0,3683
1340,2020-06-16,0,3644
1341,2020-06-17,0,3668
1342,2020-06-18,0,3642
1343,2020-06-19,0,3609
