date,sun,price
2018-11-02,15.52,520
2018-11-05,14.15,510
2018-11-06,11.94,500
2018-11-07,2.22,490
2018-11-08,1.39,490
2018-11-09,8.24,490
2018-11-12,12.76,490
2018-11-13,12.9,470
2018-11-14,12.5,470
2018-11-15,11.26,470
2018-11-16,3.94,450
2018-11-19,11.82,440
2018-11-20,12.73,430
2018-11-21,7.02,390
2018-11-22,13.16,380
2018-11-23,11.59,420
2018-11-26,12.02,420
2018-11-27,9.53,385
2018-11-28,6.89,360
2018-11-29,6.18,350
2018-11-30,11.2,360
2018-12-03,2.15,410
2018-12-04,4.11,410
2018-12-05,8.95,410
2018-12-06,4.98,420
2018-12-10,11.68,430
2018-12-11,1.79,430
2018-12-12,11.3,430
2018-12-13,6.17,420
2018-12-14,11.23,400
2018-12-17,8.84,425
2018-12-18,7.29,425
2018-12-19,7.74,420
2018-12-20,6.18,395
2018-12-21,5.68,380
2018-12-24,11.06,380
2018-12-26,9.42,375
2018-12-27,11.6,380
2018-12-28,10.09,380
2018-12-31,11.74,380
2019-01-02,10.67,400
2019-01-03,12.33,410
2019-01-04,5.29,470
2019-01-07,9.87,450
2019-01-08,9.21,410
2019-01-09,9.35,370
2019-01-10,5.1,375
2019-01-11,9.32,375
2019-01-14,9.92,357
2019-01-15,6.85,360
2019-01-16,12.72,358
2019-01-17,6.14,358
2019-01-18,11.05,368
2019-01-21,10.24,378
2019-01-22,11,390
2019-01-23,10.14,405
2019-01-24,14.09,400
2019-01-25,10.18,405
2019-01-28,12.47,405
2019-01-29,14.43,440
2019-01-30,10.86,440
2019-01-31,2.35,440
2019-02-01,10.41,430
2019-02-07,11.29,430
2019-02-08,12.62,394
2019-02-11,15.6,406
2019-02-12,13.13,406
2019-02-13,14.78,416
2019-02-14,15.84,406
2019-02-15,8.39,405
2019-02-18,8.67,410
2019-02-19,1.91,440
2019-02-20,10.47,415
2019-02-21,16.9,415
2019-02-22,12.32,418
2019-02-25,15.3,433
2019-02-26,17.37,418
2019-02-27,4,408
2019-02-28,13.88,408
2019-03-04,15.28,410
2019-03-05,10.63,380
2019-03-06,13.9,380
2019-03-07,11.63,380
2019-03-08,21.02,390
2019-03-11,8.26,385
2019-03-12,12.93,410
2019-03-13,20.19,412
2019-03-14,20.62,412
2019-03-15,10.61,390
2019-03-18,16.77,380
2019-03-19,18.91,370
2019-03-20,5.16,360
2019-03-21,7.41,360
2019-03-22,21.39,360
2019-03-25,18.56,360
2019-03-26,20.41,360
2019-03-27,20.04,360
2019-03-28,16,360
2019-03-29,19.96,360
2019-04-01,23.77,385
2019-04-02,25.09,395
2019-04-03,25.7,378
2019-04-04,24.91,357
2019-04-05,13.38,363
2019-04-08,22.67,358
2019-04-09,11.17,358
2019-04-10,5.67,358
2019-04-11,16.2,388
2019-04-12,25.75,428
2019-04-15,26.58,428
2019-04-16,21.27,410
2019-04-17,25.01,405
2019-04-18,24.49,405
2019-04-19,13.04,414
2019-04-22,14.96,414
2019-04-23,6.59,414
2019-04-24,7.56,419
2019-04-25,2.86,410
2019-04-26,2.86,455
2019-04-29,3.04,485
