date,gangsu,ondo,snow,price
2018-02-02,0,-4.3,0.1,670
2018-02-05,0,-8,0.2,830
2018-02-06,0,-8.1,0,930
2018-02-07,0.4,-7,0,950
2018-02-08,0,-3.7,0,970
2018-02-09,0,1.5,0,930
2018-02-12,0.9,-4.9,1.9,880
2018-02-13,0.7,-2,0.8,830
2018-02-14,0,4,0,820
2018-02-19,0,3.6,0,810
2018-02-20,0,2.6,0,810
2018-02-21,0,0.6,0,800
2018-02-22,0,-1,0,810
2018-02-23,0,3.1,0,810
2018-02-26,0,3.3,0,810
2018-02-27,0,5.4,0,820
2018-02-28,16,5.7,0,880
2018-03-02,0,1.4,0,980
2018-03-05,6.9,8.4,0,940
2018-03-06,0,7,0,910
