,date,sun,price
681,2017-09-14,19.23,1290.0
682,2017-09-15,11.52,1290.0
683,2017-09-18,17.82,1280.0
684,2017-09-19,11.47,1290.0
685,2017-09-20,8.63,1280.0
686,2017-09-21,15.64,1280.0
687,2017-09-22,16.41,1260.0
688,2017-09-25,15.23,1260.0
689,2017-09-26,15.88,1260.0
690,2017-09-27,4.6,1260.0
691,2017-09-28,15.51,1240.0
692,2017-09-29,14.58,1250.0
693,2017-10-10,12.85,1220.0
694,2017-10-11,3.39,1210.0
695,2017-10-12,2.08,1240.0
696,2017-10-13,15.59,1240.0
697,2017-10-16,4.92,1240.0
698,2017-10-17,8.84,1240.0
699,2017-10-18,4.61,1260.0
700,2017-10-19,10.16,1260.0
701,2017-10-20,14.09,1260.0
702,2017-10-23,12.94,1260.0
703,2017-10-24,11.66,1270.0
704,2017-10-25,13.12,1250.0
705,2017-10-26,11.37,1240.0
706,2017-10-27,9.76,1240.0
707,2017-10-30,13.72,1250.0
708,2017-10-31,13.35,1250.0
709,2017-11-01,11.6,1250.0
710,2017-11-02,7.95,1240.0
711,2017-11-03,6.83,1240.0
712,2017-11-06,11.92,1250.0
713,2017-11-07,5.9,1250.0
714,2017-11-08,9.62,1260.0
715,2017-11-09,11.9,1260.0
716,2017-11-10,6.74,1260.0
717,2017-11-13,7.92,1260.0
718,2017-11-14,10.34,1240.0
719,2017-11-15,7.72,1240.0
720,2017-11-16,10.78,1240.0
721,2017-11-17,4.73,1240.0
722,2017-11-20,8.51,1250.0
723,2017-11-21,9.22,1250.0
724,2017-11-22,3.79,1250.0
725,2017-11-23,7.43,1250.0
726,2017-11-24,7.49,1250.0
727,2017-11-27,9.78,1240.0
728,2017-11-28,5.52,1240.0
729,2017-11-29,4.16,1240.0
730,2017-11-30,9.45,1240.0
731,2017-12-04,5.21,1240.0
732,2017-12-05,8.85,1230.0
733,2017-12-06,8.16,1230.0
734,2017-12-07,6.33,1230.0
735,2017-12-08,6.31,1230.0
736,2017-12-11,5.69,1230.0
737,2017-12-12,7.65,1230.0
738,2017-12-13,9.05,1230.0
739,2017-12-14,7.31,1230.0
740,2017-12-15,6.65,1220.0
741,2017-12-18,5.39,1210.0
742,2017-12-19,5.8,1210.0
743,2017-12-20,9.08,1210.0
744,2017-12-21,8.01,1210.0
745,2017-12-22,8.97,1210.0
746,2017-12-26,7.21,1210.0
747,2017-12-27,9.81,1210.0
748,2017-12-28,4.94,1210.0
749,2017-12-29,3.67,1210.0
750,2018-01-02,8.18,1210.0
751,2018-01-03,8.47,1210.0
752,2018-01-04,5.08,1200.0
753,2018-01-05,4.98,1190.0
754,2018-01-08,2.76,1190.0
755,2018-01-09,6.97,1190.0
756,2018-01-10,5.13,1190.0
757,2018-01-11,5.23,1190.0
758,2018-01-12,9.85,1200.0
759,2018-01-15,9.83,1190.0
760,2018-01-16,1.24,1190.0
761,2018-01-17,7.64,1200.0
762,2018-01-18,7.92,1200.0
763,2018-01-19,10.68,1200.0
764,2018-01-22,8.18,1185.0
765,2018-01-23,6.5,1185.0
766,2018-01-24,10.89,1185.0
767,2018-01-25,7.93,1185.0
768,2018-01-26,6.94,1205.0
769,2018-01-29,9.2,1205.0
770,2018-01-30,8.68,1205.0
771,2018-01-31,6.14,1180.0
772,2018-02-01,12.51,1180.0
773,2018-02-02,8.53,1180.0
774,2018-02-05,4.52,1170.0
775,2018-02-06,2.83,1160.0
776,2018-02-07,10.89,1160.0
777,2018-02-08,12.02,1160.0
778,2018-02-09,7.47,1160.0
779,2018-02-12,8.84,1140.0
780,2018-02-13,13.88,1130.0
781,2018-02-14,10.0,1150.0
782,2018-02-19,6.36,1130.0
783,2018-02-20,9.24,1120.0
784,2018-02-21,8.07,1120.0
785,2018-02-22,13.27,1060.0
786,2018-02-23,11.94,1060.0
787,2018-02-26,15.47,1060.0
788,2018-02-27,13.1,1060.0
789,2018-02-28,1.2,1040.0
