date,income,price
2018-06-19,58015498,730
2018-06-20,58015498,710
2018-06-21,58015498,705
2018-06-22,58015498,690
2018-06-25,58015498,670
2018-06-26,58015498,650
2018-06-27,58015498,650
2018-06-28,58015498,650
2018-06-29,58015498,650
2018-07-02,58015498,650
2018-07-03,58015498,650
2018-07-04,58015498,660
2018-07-05,58015498,650
2018-07-06,58015498,640
2018-07-09,58015498,640
2018-07-10,58015498,660
2018-07-11,58015498,670
2018-07-12,58015498,680
2018-07-13,58015498,680
2018-07-16,58015498,690
2018-07-17,58015498,690
2018-07-18,58015498,690
2018-07-19,58015498,680
2018-07-20,58015498,680
2018-07-23,58015498,690
2018-07-24,58015498,650
2018-07-25,58015498,650
2018-07-26,58015498,650
2018-07-27,58015498,646
2018-07-30,58015498,666
2018-07-31,58015498,670
2018-08-01,58015498,670
2018-08-02,58015498,670
2018-08-03,58015498,700
2018-08-06,58015498,730
2018-08-07,58015498,730
2018-08-08,58015498,770
2018-08-09,58015498,760
2018-08-10,58015498,780
2018-08-13,58015498,810
2018-08-14,58015498,780
2018-08-16,58015498,790
2018-08-17,58015498,790
2018-08-20,58015498,810
2018-08-21,58015498,810
2018-08-22,58015498,810
2018-08-23,58015498,790
2018-08-24,58015498,790
2018-08-27,58015498,810
2018-08-28,58015498,790
2018-08-29,58015498,790
2018-08-30,58015498,790
2018-08-31,58015498,750
2018-09-03,58015498,780
2018-09-04,58015498,770
2018-09-05,58015498,770
2018-09-06,58015498,780
2018-09-07,58015498,800
2018-09-10,58015498,810
2018-09-11,58015498,810
2018-09-12,58015498,790
2018-09-13,58015498,790
2018-09-14,58015498,790
2018-09-17,58015498,790
2018-09-18,58015498,790
2018-09-19,58015498,760
2018-09-20,58015498,760
2018-09-21,58015498,760
2018-09-27,58015498,750
2018-09-28,58015498,760
2018-10-01,58015498,760
2018-10-02,58015498,740
2018-10-04,58015498,740
2018-10-05,58015498,740
2018-10-08,58015498,740
2018-10-10,58015498,740
2018-10-11,58015498,720
2018-10-12,58015498,720
2018-10-15,58015498,740
2018-10-16,58015498,740
2018-10-17,58015498,725
2018-10-18,58015498,715
2018-10-19,58015498,725
2018-10-22,58015498,725
2018-10-23,58015498,705
2018-10-24,58015498,705
2018-10-25,58015498,680
2018-10-26,58015498,680
2018-10-29,58015498,680
2018-10-30,58015498,690
2018-10-31,58015498,700
2018-11-01,58015498,710
2018-11-02,58015498,710
2018-11-05,58015498,710
2018-11-06,58015498,730
2018-11-07,58015498,730
2018-11-08,58015498,730
2018-11-09,58015498,720
2018-11-12,58015498,720
2018-11-13,58015498,720
2018-11-14,58015498,720
2018-11-15,58015498,740
2018-11-16,58015498,690
2018-11-19,58015498,690
2018-11-20,58015498,705
2018-11-21,58015498,685
2018-11-22,58015498,685
2018-11-23,58015498,665
2018-11-26,58015498,665
2018-11-27,58015498,665
2018-11-28,58015498,665
2018-11-29,58015498,665
2018-11-30,58015498,665
2018-12-03,58015498,660
2018-12-04,58015498,680
2018-12-05,58015498,670
2018-12-06,58015498,670
2018-12-10,58015498,670
2018-12-11,58015498,670
2018-12-12,58015498,670
2018-12-13,58015498,670
2018-12-14,58015498,670
2018-12-17,58015498,670
2018-12-18,58015498,660
2018-12-19,58015498,660
2018-12-20,58015498,650
2018-12-21,58015498,650
2018-12-24,58015498,650
2018-12-26,58015498,650
2018-12-27,58015498,650
2018-12-28,58015498,640
2018-12-31,58015498,640
2019-01-02,22751520,640
2019-01-03,22751520,640
2019-01-04,22751520,650
2019-01-07,22751520,650
2019-01-08,22751520,640
2019-01-09,22751520,640
2019-01-10,22751520,600
2019-01-11,22751520,600
2019-01-14,22751520,610
2019-01-15,22751520,610
2019-01-16,22751520,623
2019-01-17,22751520,623
2019-01-18,22751520,623
2019-01-21,22751520,623
2019-01-22,22751520,594
2019-01-23,22751520,594
2019-01-24,22751520,594
2019-01-25,22751520,594
2019-01-28,22751520,594
2019-01-29,22751520,594
2019-01-30,22751520,594
2019-01-31,22751520,604
2019-02-01,22751520,604
2019-02-07,22751520,594
2019-02-08,22751520,584
2019-02-11,22751520,584
2019-02-12,22751520,594
2019-02-13,22751520,594
2019-02-14,22751520,594
2019-02-15,22751520,594
2019-02-18,22751520,604
2019-02-19,22751520,604
2019-02-20,22751520,624
2019-02-21,22751520,624
2019-02-22,22751520,624
2019-02-25,22751520,614
2019-02-26,22751520,614
2019-02-27,22751520,614
2019-02-28,22751520,624
